Transaction ID,First Name,Middle Initial,Last Name,Transaction Date,Owner,Ticker,Asset Name,Company,Description,Rate/Coupon,Maturity Date,Asset Type,Transaction Type,Amount Range,Amount Min,Amount Max,Comment
dfc45dab-1a66-4e4e-b8ad-0456faae1f57,Lamar,,Alexander,2017-07-11,Spouse,,Marion County Tenn GO SCH REF BDS,,,4.00%,04/01/2021,Municipal Security,Purchase,"$50,001 - $100,000",50001,100000,--
049b63d6-4f7a-4303-8179-9ca837289d7f,Lamar,,Alexander,2015-12-15,Self,,Custom Foods of America Inc.,"Custom Foods of America Inc.  (Knoxville, Tennessee)",Wholesale Food,,,Private Stock,Sale (Partial),"$250,001 - $500,000",250001,500000,Sold to Leslee B Alexander Family Trust
52042f29-9f6d-4909-814c-82a1fe3ae323,Lamar,,Alexander,2015-12-15,Self,,3600 Management LLC,"3600 Management LLC  (Knoxville, Tennessee)",Commercial Rental,,,Other Securities,Sale (Full),"$1,000,001 - $5,000,000",1000001,5000000,Sold to Lamar Alexander Family Trust
2b130dc0-ab47-4ae0-b8ca-cc34d2c36e5e,Lamar,,Alexander,2016-01-07,Spouse,,METROPOLITAN NASHVILLE ARPT AU ARPT,,,5.00%,07/01/2040,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
d10c2a6d-4b03-4a90-8850-f9f2507e9d43,Lamar,,Alexander,2016-01-07,Spouse,,LAKELAND TENN GO CAP OUTLAY NTS,,,5.00%,03/01/2020,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
afa37ad8-fcc1-4aa2-bcd0-76ace76155a7,Lamar,,Alexander,2016-01-05,Spouse,,ROBERTSON CNTY TENN GO REF BDS,,,3.00%,04/01/2025,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
426b4983-f3c2-4da9-ad41-8e0d53db52d2,Lamar,,Alexander,2015-12-22,Spouse,,ROBERTSON CNTY TENN GO SCH BDS,,,5.00%,05/01/2022,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
a53373d9-b3da-49f1-a8e5-c40a341c860a,Lamar,,Alexander,2019-05-31,Spouse,,Little Star Partnership,"Little Star Partnership  (Victoria, Texas)",Rental Real Estate,,,Other Securities,Purchase,"$100,001 - $250,000",100001,250000,"Little Star Partnership is a family Company owned by Senator Alexander's wife and her four siblings. After the final settlement of their mother's estate, Senator Alexander's wife exchanged her interest in Starboard Corporation for an additional interest in Little Star Partnership. Starboard Corporation is also a family owned Company owned by the five siblings and the exchange occurred between the siblings."
b86d857a-e57a-420a-8e76-f656bce73bbe,Lamar,,Alexander,2019-05-31,Spouse,,Buhler Telferner Partnership,"Buhler Telferner Partnership  (Victoria, Texas)",Rental real estate,,,Other Securities,Purchase,"$500,001 - $1,000,000",500001,1000000,"Buhler Telferner Partnership is a family Company owned by Senator Alexander's wife and her four siblings. After the final settlement of their mother's estate, Senator Alexander's wife exchanged her interest in Starboard Corporation for an additional interest in Buhler Telferner Partnership. Starboard Corporation is also a family owned Company owned by the five siblings and the exchange occurred between the siblings."
e5025290-d3ca-4789-a76f-75188238bd0e,Lamar,,Alexander,2019-05-31,Spouse,,Starboard Corporation - Commercial Real Estate,"Starboard Corporation  (Victoria, TX)",Commercial rental real estate,,,Private Stock,Sale (Full),"$500,001 - $1,000,000",500001,1000000,"Starboard Corporation is a family Company owned by Senator Alexander's wife and her four siblings. After the final settlement of their mother's estate, Senator Alexander's wife exchanged her interest in Starboard Corporation for an additional interest in Buhler Telferner Partnership and Little Star Partnership. The two partnerships are also family owned Companies owned by the five siblings and the exchange occurred between the siblings."
eb6a2d51-13e0-4813-880d-7a9fe18325d7,Lamar,,Alexander,2019-11-13,Spouse,,McKinney Texas Indpt Sch Dist,,,5.00%,02/15/2028,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,Notification of the transaction was delayed due to the holidays
d6da146e-b073-4852-8bbe-a0b9532bd4a8,Lamar,,Alexander,2016-11-10,Spouse,,Chattanooga Tenn GO REF BDS,,,5.00%,09/01/2019,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
75a1b787-cc6e-4004-93e8-19da544b75e3,Lamar,,Alexander,2016-11-08,Spouse,,Metropolitan Govt Nashville & REF BDS,,,5.00%,05/15/2019,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
0bb921b4-b776-4476-83c0-332254bcd155,Lamar,,Alexander,2018-10-12,Spouse,,Montgomery County TN Go REF BDS,,,4.0%,04/01/2019,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
2d3d5ff5-0f97-42c4-a6b4-ceedf738046a,Lamar,,Alexander,2018-10-23,Spouse,,University Texas Univ Revs REV FIN SYS REF BDS,,,5.0%,08/15/2032,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
f9a26c1e-bb4e-49f8-b85f-e503be6b61a2,Lamar,,Alexander,2018-10-12,Spouse,,Plano Texas Indpt Sch Dis Ultd Tax REF BDS,,,5.0%,02/15/2024,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
76443184-d9f7-4a8e-9fb3-e224b779d5ed,Lamar,,Alexander,2019-05-17,Spouse,,Tennessee St. Sch BD Auth Higher,,,5.00%,11/01/2024,Municipal Security,Purchase,"$50,001 - $100,000",50001,100000,--
7e702a46-7c77-4699-8e8b-49810ea22e25,Lamar,,Alexander,2019-05-17,Spouse,,Chattanooga Tenn Elec Rev Ref,,,5.00%,09/01/2027,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
e0f17646-aa49-4597-a389-40ce29ce9e95,Lamar,,Alexander,2017-09-13,Spouse,,Metropolitan Govt Nashville Water and Sewer,,,5.00%,07/01/2023,Municipal Security,Purchase,"$15,001 - $50,000",15001,50000,--
bd65777d-0862-4146-bc26-082e272bf6bf,Lamar,,Alexander,2017-09-07,Spouse,,Wilson County Tenn GO,,,5.00%,04/01/2019,Municipal Security,Purchase,"$50,001 - $100,000",50001,100000,--
961d21fe-d627-4c01-81c7-be3c883047e2,Lamar,,Alexander,2017-09-06,Spouse,,Sevier County Tenn Pub Bldg,,,5.00%,06/01/2018,Municipal Security,Purchase,"$50,001 - $100,000",50001,100000,--
67805a57-c3f3-439b-b0a5-cb4801619e73,Lamar,,Alexander,2017-10-23,Spouse,,Metropolitan Gov't Nashville & Go REF BDS,,,5.00%,01/01/2024,Municipal Security,Purchase,"$50,001 - $100,000",50001,100000,--
